,time_x,address,totalBikeStands,availableBikeStands,availableBikes,status,datetime_x,date,day,hour,time_y,mainDescription,detailedDescription,icon,currentTemp,maxTemp,minTemp,pressure,humidity,windSpeed,windAngle,cloudDensity,visibility,datetime_y
73,1521226424000,Jervis Street,21,20,1,OPEN,2018-03-16 18:53:44,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
74,1521226425000,Charlemont Street,40,22,18,OPEN,2018-03-16 18:53:45,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
75,1521226430000,Kilmainham Lane,30,23,7,OPEN,2018-03-16 18:53:50,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
76,1521226431000,Grantham Street,30,26,4,OPEN,2018-03-16 18:53:51,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
77,1521226432000,Herbert Place,30,11,19,OPEN,2018-03-16 18:53:52,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
78,1521226435000,Greek Street,20,18,2,OPEN,2018-03-16 18:53:55,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
79,1521226438000,Herbert Street,40,37,3,OPEN,2018-03-16 18:53:58,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
80,1521226443000,Guild Street,40,14,26,OPEN,2018-03-16 18:54:03,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
81,1521226453000,Clonmel Street,33,28,5,OPEN,2018-03-16 18:54:13,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
82,1521226453000,Grattan Street,23,20,3,OPEN,2018-03-16 18:54:13,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
83,1521226453000,South Dock Road,30,14,16,OPEN,2018-03-16 18:54:13,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
84,1521226458000,Custom House Quay,30,25,5,OPEN,2018-03-16 18:54:18,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
85,1521226458000,Grand Canal Dock,40,13,27,OPEN,2018-03-16 18:54:18,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
86,1521226460000,Heuston Bridge (North),40,8,32,OPEN,2018-03-16 18:54:20,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
